"match_checksum","round_number","x","y","bomb_status"
"472ac3e23ebc878b",3,-435.091919,-1980.637329,exploded
"472ac3e23ebc878b",4,-1988.281982,429.07782,exploded
"472ac3e23ebc878b",5,-495.899902,-1991.884033,planted_only
"472ac3e23ebc878b",7,-291.67334,-2219.720703,defused
"472ac3e23ebc878b",10,-469.450562,-2008.574951,planted_only
"472ac3e23ebc878b",11,-1888.560181,242.060196,planted_only
"472ac3e23ebc878b",16,-262.2854,-2158.574219,exploded
"472ac3e23ebc878b",17,-489.046265,-2015.286133,exploded
"472ac3e23ebc878b",18,-253.937195,-2136.246094,defused
"472ac3e23ebc878b",19,-458.237671,-2010.927979,exploded
"472ac3e23ebc878b",20,-443.612915,-1986.458496,planted_only
"472ac3e23ebc878b",21,-1893.345703,256.555389,planted_only
"472ac3e23ebc878b",25,-284.21582,-2159.084229,planted_only
"472ac3e23ebc878b",26,-323.267761,-2033.281738,planted_only
"472ac3e23ebc878b",28,-423.942017,-1990.176392,defused
"45959b056841cf0b",1,-554.937195,-2104.143799,exploded
"45959b056841cf0b",5,-597.094177,-2164.613037,defused
"45959b056841cf0b",7,-264.922058,-2154.185059,defused
"45959b056841cf0b",10,-2001.062988,180.057297,planted_only
"45959b056841cf0b",11,-286.337158,-2159.63623,exploded
"45959b056841cf0b",15,-607.541626,-2158.275146,planted_only
"45959b056841cf0b",19,-277.863647,-2157.354004,defused
"45959b056841cf0b",20,-321.027588,-2035.879883,planted_only
"45959b056841cf0b",21,-1969.03125,450.046326,exploded
"45959b056841cf0b",22,-267.058228,-2163.710449,defused
fd4642781bb75169,1,-560.329529,-1976.849121,defused
fd4642781bb75169,4,-1886.00354,242.06279,defused
fd4642781bb75169,6,-1910.768066,242.474014,exploded
fd4642781bb75169,7,-1987.062988,434.161987,exploded
fd4642781bb75169,8,-493.140503,-1972.659912,defused
fd4642781bb75169,9,-550.685791,-1975.230469,exploded
fd4642781bb75169,10,-1987.060303,412.531311,defused
fd4642781bb75169,11,-1899.203003,319.227936,defused
fd4642781bb75169,14,-292.970581,-2161.361084,exploded
fd4642781bb75169,16,-1886.656616,242.027725,planted_only
"5cb8c0ec2d76bf",3,-1969.03125,450.031647,planted_only
"5cb8c0ec2d76bf",10,-397.542114,-2092.887451,planted_only
"5cb8c0ec2d76bf",13,-497.936401,-1999.39209,defused
"5cb8c0ec2d76bf",15,-2198.959229,89.031242,planted_only
"5cb8c0ec2d76bf",16,-1969.03125,450.031067,planted_only
"5cb8c0ec2d76bf",17,-280.364746,-2158.052979,planted_only
"5cb8c0ec2d76bf",18,-603.213135,-2155.781006,planted_only
"3d509c234096d43a",1,-566.096069,-2194.957764,planted_only
"3d509c234096d43a",2,-2198.959717,89.031242,planted_only
"3d509c234096d43a",10,-330.769043,-2038.705444,defused
"3d509c234096d43a",13,-1969.059937,450.037781,exploded
"3d509c234096d43a",14,-267.184021,-2154.621094,planted_only
"2dcf733686e46889",1,-455.626343,-1978.03894,defused
"2dcf733686e46889",3,-1969.03125,450.063019,defused
"2dcf733686e46889",5,-461.390137,-1977.566528,defused
"2dcf733686e46889",6,-1987.065552,422.747467,exploded
"2dcf733686e46889",7,-439.324951,-1981.52771,defused
"2dcf733686e46889",8,-434.104858,-1980.861206,exploded
"2dcf733686e46889",9,-1881.429688,244.304184,planted_only
"2dcf733686e46889",10,-1969.03125,450.051178,exploded
"2dcf733686e46889",13,-283.970581,-2161.109619,defused
"2dcf733686e46889",17,-554.966553,-2103.692871,exploded
"2dcf733686e46889",18,-1969.076782,450.062622,exploded
"2dcf733686e46889",19,-536.075745,-1972.937256,planted_only
"2dcf733686e46889",20,-280.720398,-2158.291992,defused
"2dcf733686e46889",23,-1994.062988,202.424881,exploded
a5f32090846c4a01,1,-444.000366,-1983.101196,planted_only
a5f32090846c4a01,8,-493.425171,-2029.883789,exploded
a5f32090846c4a01,9,-1930.672241,242.062912,exploded
a5f32090846c4a01,11,-626.076294,-1990.635986,planted_only
a5f32090846c4a01,12,-449.918945,-1982.25,exploded
a5f32090846c4a01,13,-1987.062744,411.452637,defused
a5f32090846c4a01,17,-253.901978,-2142.108887,defused
"7a552a402f3cd259",2,-606.748291,-1984.557983,exploded
"7a552a402f3cd259",3,-494.488159,-2003.899414,exploded
"7a552a402f3cd259",4,-416.836121,-1989.334229,exploded
"7a552a402f3cd259",6,-253.970825,-2134.073486,exploded
"7a552a402f3cd259",8,-405.359619,-1991.788696,planted_only
"7a552a402f3cd259",9,-553.281372,-2103.443848,exploded
"7a552a402f3cd259",10,-503.125244,-1984.119019,planted_only
"7a552a402f3cd259",11,-546.351013,-1974.494629,planted_only
"7a552a402f3cd259",12,-1987.125,432.308716,exploded
"7a552a402f3cd259",13,-1969.068726,450.03125,planted_only
"7a552a402f3cd259",14,-1900.864868,242.062653,exploded
"7a552a402f3cd259",15,-1888.914307,249.573212,exploded
"7a552a402f3cd259",16,-316.901184,-2030.846558,defused
"7a552a402f3cd259",17,-497.937805,-1999.46875,defused
ee5f8be378a7deef,4,-280.604004,-2165.481445,defused
ee5f8be378a7deef,5,-274.610107,-2156.542236,exploded
ee5f8be378a7deef,6,-521.356934,-2098.119873,planted_only
ee5f8be378a7deef,7,-1987.06189,365.274933,exploded
ee5f8be378a7deef,8,-1994.116211,438.878357,defused
ee5f8be378a7deef,10,-436.86853,-1980.974365,exploded
ee5f8be378a7deef,11,-2050.880371,422.255737,planted_only
ee5f8be378a7deef,12,-605.853149,-1983.661987,exploded
ee5f8be378a7deef,13,-253.969482,-2134.07666,planted_only
ee5f8be378a7deef,15,-1969.03125,450.048553,exploded
ee5f8be378a7deef,16,-440.734009,-1981.416016,defused
ee5f8be378a7deef,17,-1969.054932,450.050323,planted_only
ee5f8be378a7deef,18,-1969.062988,450.033813,exploded
ee5f8be378a7deef,20,-253.739136,-2134.358887,planted_only
ee5f8be378a7deef,21,-438.940552,-1981.832764,planted_only
"1787ce744c361d96",1,-324.545349,-2037.055786,exploded
"1787ce744c361d96",2,-1987.076416,400.414764,exploded
"1787ce744c361d96",3,-1990.492676,420.805023,planted_only
"1787ce744c361d96",5,-553.874817,-1975.730591,planted_only
"1787ce744c361d96",6,-1987.071045,428.502441,exploded
"1787ce744c361d96",10,-1969.043579,450.05719,exploded
"1787ce744c361d96",11,-253.967529,-2134.07666,defused
"1787ce744c361d96",12,-432.032532,-1995.439331,defused
"1787ce744c361d96",14,-612.191467,-2187.683594,defused
