"tick","start_tick","killer_side","winner_side","round_number","match_checksum"
12552,7777,2,3,1,"10a3d1f30f1855c9"
18910,13833,3,3,2,"10a3d1f30f1855c9"
28279,22732,3,2,3,"10a3d1f30f1855c9"
36233,33229,3,3,4,"10a3d1f30f1855c9"
44254,40591,3,3,5,"10a3d1f30f1855c9"
51396,45424,3,2,6,"10a3d1f30f1855c9"
58973,56161,3,2,7,"10a3d1f30f1855c9"
69945,66701,2,2,8,"10a3d1f30f1855c9"
76673,72944,2,2,9,"10a3d1f30f1855c9"
85111,80911,3,2,10,"10a3d1f30f1855c9"
93046,89426,2,2,11,"10a3d1f30f1855c9"
99322,96894,3,2,12,"10a3d1f30f1855c9"
106309,102584,2,3,13,"10a3d1f30f1855c9"
111848,108712,3,3,14,"10a3d1f30f1855c9"
116948,114114,2,3,15,"10a3d1f30f1855c9"
125255,122472,2,2,16,"10a3d1f30f1855c9"
132015,128727,3,3,17,"10a3d1f30f1855c9"
140198,137815,3,3,18,"10a3d1f30f1855c9"
9393,5975,3,2,1,"115deb593c2d248e"
16620,13411,2,2,2,"115deb593c2d248e"
20157,18080,2,2,3,"115deb593c2d248e"
25033,22492,3,2,4,"115deb593c2d248e"
31067,28675,3,3,5,"115deb593c2d248e"
39069,33757,2,2,6,"115deb593c2d248e"
47050,44966,3,3,7,"115deb593c2d248e"
52440,50297,3,3,8,"115deb593c2d248e"
56117,53987,3,3,9,"115deb593c2d248e"
59465,57159,2,3,10,"115deb593c2d248e"
68353,66085,3,3,11,"115deb593c2d248e"
74181,71873,2,2,12,"115deb593c2d248e"
85027,81568,2,3,13,"115deb593c2d248e"
94633,91115,2,2,14,"115deb593c2d248e"
103337,98018,2,3,15,"115deb593c2d248e"
107817,105542,3,3,16,"115deb593c2d248e"
111055,108742,3,3,17,"115deb593c2d248e"
117561,112312,3,3,18,"115deb593c2d248e"
123710,121190,3,3,19,"115deb593c2d248e"
136404,131756,3,3,20,"115deb593c2d248e"
9610,4438,3,3,1,"11a93513ed49b67e"
15984,13667,3,3,2,"11a93513ed49b67e"
18596,16760,3,2,3,"11a93513ed49b67e"
28482,25596,3,3,4,"11a93513ed49b67e"
38970,34684,2,3,5,"11a93513ed49b67e"
43489,41377,3,2,6,"11a93513ed49b67e"
50812,48324,2,2,7,"11a93513ed49b67e"
54333,52543,2,2,8,"11a93513ed49b67e"
62576,59234,3,2,9,"11a93513ed49b67e"
69750,67314,3,2,10,"11a93513ed49b67e"
79322,76329,3,3,11,"11a93513ed49b67e"
87939,85971,3,2,12,"11a93513ed49b67e"
97849,94827,3,3,13,"11a93513ed49b67e"
103805,101489,3,3,14,"11a93513ed49b67e"
109478,107180,3,2,15,"11a93513ed49b67e"
120419,116669,3,3,16,"11a93513ed49b67e"
124965,122721,3,3,17,"11a93513ed49b67e"
132851,127186,3,3,18,"11a93513ed49b67e"
145248,135345,2,3,19,"11a93513ed49b67e"
3792,106,2,2,1,"1200c1009d4cc65f"
7609,5046,2,2,2,"1200c1009d4cc65f"
12735,8249,2,2,3,"1200c1009d4cc65f"
19869,17613,3,2,4,"1200c1009d4cc65f"
27729,25629,3,3,5,"1200c1009d4cc65f"
34537,33014,2,2,6,"1200c1009d4cc65f"
43995,41682,2,2,7,"1200c1009d4cc65f"
48739,47228,2,2,8,"1200c1009d4cc65f"
63924,59856,2,2,9,"1200c1009d4cc65f"
69443,67852,2,2,10,"1200c1009d4cc65f"
74809,73008,2,2,11,"1200c1009d4cc65f"
81857,78174,2,2,12,"1200c1009d4cc65f"
87052,84491,2,2,13,"1200c1009d4cc65f"
93809,92012,2,2,14,"1200c1009d4cc65f"
103466,100254,3,3,15,"1200c1009d4cc65f"
110500,107356,2,2,16,"1200c1009d4cc65f"
117206,115328,3,3,17,"1200c1009d4cc65f"
6442,4062,3,3,1,"126487747bcfd5c"
13449,9908,2,3,2,"126487747bcfd5c"
17257,14743,3,3,3,"126487747bcfd5c"
27158,21120,3,3,4,"126487747bcfd5c"
34313,29847,2,3,5,"126487747bcfd5c"
39809,37720,2,2,6,"126487747bcfd5c"
54773,50540,2,2,7,"126487747bcfd5c"
60974,57902,2,2,8,"126487747bcfd5c"
69467,63257,3,3,9,"126487747bcfd5c"
73292,71166,3,3,10,"126487747bcfd5c"
88080,80254,2,2,11,"126487747bcfd5c"
102653,96615,3,3,12,"126487747bcfd5c"
107205,104579,3,3,13,"126487747bcfd5c"
116227,113873,3,3,14,"126487747bcfd5c"
126676,122902,3,3,15,"126487747bcfd5c"
133968,129226,3,2,16,"126487747bcfd5c"
143984,139348,3,3,17,"126487747bcfd5c"
151398,147933,3,3,18,"126487747bcfd5c"
155406,153090,3,3,19,"126487747bcfd5c"
167573,164088,3,3,20,"126487747bcfd5c"
172893,170735,2,2,21,"126487747bcfd5c"
181856,177102,2,2,22,"126487747bcfd5c"
192887,189565,2,3,23,"126487747bcfd5c"
201334,199127,2,3,24,"126487747bcfd5c"
210109,205497,3,2,25,"126487747bcfd5c"
220287,214810,3,3,26,"126487747bcfd5c"
226218,223297,3,3,27,"126487747bcfd5c"
234288,231253,2,2,28,"126487747bcfd5c"
245598,242274,3,3,29,"126487747bcfd5c"
251652,249161,3,3,30,"126487747bcfd5c"
261922,257195,2,2,31,"126487747bcfd5c"
269998,267360,2,2,32,"126487747bcfd5c"
278968,275387,3,3,33,"126487747bcfd5c"
285055,281579,3,3,34,"126487747bcfd5c"
291855,287116,2,2,35,"126487747bcfd5c"
303237,297626,3,3,36,"126487747bcfd5c"
311468,307138,2,2,37,"126487747bcfd5c"
15628,1018,2,2,1,"13d728b6b0876092"
22270,19423,2,2,2,"13d728b6b0876092"
28150,25766,3,3,3,"13d728b6b0876092"
31904,29682,2,2,4,"13d728b6b0876092"
36566,34370,2,3,5,"13d728b6b0876092"
44987,40897,2,2,6,"13d728b6b0876092"
52905,49705,3,3,7,"13d728b6b0876092"
61187,58506,2,2,8,"13d728b6b0876092"
66309,64527,2,2,9,"13d728b6b0876092"
74772,70546,2,2,10,"13d728b6b0876092"
80308,77987,3,3,11,"13d728b6b0876092"
90263,85576,2,3,12,"13d728b6b0876092"
111324,99053,2,3,13,"13d728b6b0876092"
116906,112629,3,3,14,"13d728b6b0876092"
122039,119742,3,3,15,"13d728b6b0876092"
127685,123904,3,2,16,"13d728b6b0876092"
140797,134489,3,2,17,"13d728b6b0876092"
147421,144797,3,3,18,"13d728b6b0876092"
156404,151916,2,3,19,"13d728b6b0876092"
164966,160952,3,3,20,"13d728b6b0876092"
12079,6032,3,2,1,"13e5f07b85555ae5"
19968,15273,3,3,2,"13e5f07b85555ae5"
24327,20711,2,2,3,"13e5f07b85555ae5"
33309,28609,3,3,4,"13e5f07b85555ae5"
38999,36424,3,3,5,"13e5f07b85555ae5"
44462,41116,3,3,6,"13e5f07b85555ae5"
52569,49938,2,3,7,"13e5f07b85555ae5"
61969,57481,3,2,8,"13e5f07b85555ae5"
67780,65664,3,2,9,"13e5f07b85555ae5"
75204,72316,3,3,10,"13e5f07b85555ae5"
78657,76155,2,3,11,"13e5f07b85555ae5"
87107,84505,2,2,12,"13e5f07b85555ae5"
95608,92881,3,2,13,"13e5f07b85555ae5"
111236,102552,2,2,14,"13e5f07b85555ae5"
117889,113838,3,3,15,"13e5f07b85555ae5"
131931,125724,3,3,16,"13e5f07b85555ae5"
140054,133612,3,3,17,"13e5f07b85555ae5"
148241,142505,3,3,18,"13e5f07b85555ae5"
157096,153221,3,3,19,"13e5f07b85555ae5"
164961,159162,2,2,20,"13e5f07b85555ae5"
176113,170632,3,3,21,"13e5f07b85555ae5"
182672,179947,3,3,22,"13e5f07b85555ae5"
193292,190206,2,3,23,"13e5f07b85555ae5"
2138,1,3,3,1,"1405df56c7951e00"
9887,6036,3,3,2,"1405df56c7951e00"
16730,14538,3,3,3,"1405df56c7951e00"
25736,22690,3,3,4,"1405df56c7951e00"
29620,26634,3,3,5,"1405df56c7951e00"
39268,32872,3,3,6,"1405df56c7951e00"
48041,44226,3,2,7,"1405df56c7951e00"
52947,50195,2,2,8,"1405df56c7951e00"
62562,57907,3,2,9,"1405df56c7951e00"
71333,67741,3,3,10,"1405df56c7951e00"
82315,75982,2,2,11,"1405df56c7951e00"
91666,85968,3,3,12,"1405df56c7951e00"
99400,95105,3,3,13,"1405df56c7951e00"
104698,100727,3,3,14,"1405df56c7951e00"
109970,106042,3,2,15,"1405df56c7951e00"
123387,115966,2,2,16,"1405df56c7951e00"
129290,126587,2,2,17,"1405df56c7951e00"
137878,135182,2,2,18,"1405df56c7951e00"
146538,143098,3,3,19,"1405df56c7951e00"
152767,148600,3,3,20,"1405df56c7951e00"
161361,158384,3,3,21,"1405df56c7951e00"
169602,165660,2,2,22,"1405df56c7951e00"
3998,999,2,2,1,"140a5692e02b6d2d"
9036,6395,3,2,4,"140a5692e02b6d2d"
17916,13066,3,2,5,"140a5692e02b6d2d"
23378,20538,3,3,6,"140a5692e02b6d2d"
30298,24757,3,3,7,"140a5692e02b6d2d"
40148,36439,3,3,8,"140a5692e02b6d2d"
46391,43917,3,3,9,"140a5692e02b6d2d"
51871,48691,3,2,10,"140a5692e02b6d2d"
59700,57654,3,2,11,"140a5692e02b6d2d"
64447,61340,3,3,12,"140a5692e02b6d2d"
74676,69940,3,3,13,"140a5692e02b6d2d"
77391,75308,2,2,14,"140a5692e02b6d2d"
81423,79388,2,3,15,"140a5692e02b6d2d"
90329,87851,3,3,16,"140a5692e02b6d2d"
95327,92908,3,3,17,"140a5692e02b6d2d"
103078,99296,3,3,18,"140a5692e02b6d2d"
111395,108384,3,3,19,"140a5692e02b6d2d"
116595,113503,2,3,20,"140a5692e02b6d2d"
124469,120381,2,3,21,"140a5692e02b6d2d"
129611,127521,2,2,22,"140a5692e02b6d2d"
138948,136751,3,3,23,"140a5692e02b6d2d"
145275,143088,2,3,24,"140a5692e02b6d2d"
13000,5981,2,2,1,"1428a19a8f814719"
26555,16996,3,3,2,"1428a19a8f814719"
32070,30036,3,3,3,"1428a19a8f814719"
40581,36508,3,3,4,"1428a19a8f814719"
44163,41354,3,2,5,"1428a19a8f814719"
53552,48245,3,3,6,"1428a19a8f814719"
63792,59467,2,2,7,"1428a19a8f814719"
73995,70119,3,2,8,"1428a19a8f814719"
82088,79940,2,2,9,"1428a19a8f814719"
88592,86259,2,2,10,"1428a19a8f814719"
96028,91879,3,3,11,"1428a19a8f814719"
99929,97610,3,2,12,"1428a19a8f814719"
108387,104728,3,2,13,"1428a19a8f814719"
117300,113169,2,2,14,"1428a19a8f814719"
124249,121139,3,3,15,"1428a19a8f814719"
132798,129489,2,3,16,"1428a19a8f814719"
143567,136182,3,3,17,"1428a19a8f814719"
150901,144408,3,2,18,"1428a19a8f814719"
159419,154765,3,3,19,"1428a19a8f814719"
167812,165271,2,3,20,"1428a19a8f814719"
174422,172494,3,3,21,"1428a19a8f814719"
8852,5993,3,3,1,"143534acb45ed245"
13112,10208,3,3,2,"143534acb45ed245"
18616,14885,3,3,3,"143534acb45ed245"
28114,22831,2,2,4,"143534acb45ed245"
35395,32438,3,3,5,"143534acb45ed245"
44741,40512,3,3,6,"143534acb45ed245"
50437,47322,3,3,7,"143534acb45ed245"
56263,54222,3,3,8,"143534acb45ed245"
67660,61751,3,2,9,"143534acb45ed245"
79379,73012,2,2,10,"143534acb45ed245"
85870,83088,3,2,11,"143534acb45ed245"
93619,91500,2,2,12,"143534acb45ed245"
106591,101430,2,2,13,"143534acb45ed245"
112717,109936,3,3,14,"143534acb45ed245"
124621,117348,3,2,15,"143534acb45ed245"
130316,128250,3,2,16,"143534acb45ed245"
140303,134085,2,2,17,"143534acb45ed245"
146436,142810,3,2,18,"143534acb45ed245"
153936,148688,3,2,19,"143534acb45ed245"
7934,327,3,3,1,"14b70b5c45febf48"
12829,10740,3,3,2,"14b70b5c45febf48"
16353,14474,2,2,3,"14b70b5c45febf48"
24658,22264,2,2,4,"14b70b5c45febf48"
38611,32545,2,2,5,"14b70b5c45febf48"
42192,40352,3,2,6,"14b70b5c45febf48"
51621,49716,3,2,7,"14b70b5c45febf48"
56129,53813,3,2,8,"14b70b5c45febf48"
69730,64205,2,3,9,"14b70b5c45febf48"
78979,76823,2,2,10,"14b70b5c45febf48"
87462,85503,3,2,11,"14b70b5c45febf48"
102376,95681,2,2,12,"14b70b5c45febf48"
118395,104079,3,2,13,"14b70b5c45febf48"
126923,122280,2,2,14,"14b70b5c45febf48"
131157,129289,3,2,15,"14b70b5c45febf48"
138016,135265,2,2,16,"14b70b5c45febf48"
148691,146521,3,2,17,"14b70b5c45febf48"
160020,153393,3,3,18,"14b70b5c45febf48"
164028,160918,3,3,19,"14b70b5c45febf48"
172413,168630,3,3,20,"14b70b5c45febf48"
181449,175987,2,3,21,"14b70b5c45febf48"
6265,4060,2,2,1,"15d519902ba3589b"
17012,13126,3,2,2,"15d519902ba3589b"
23601,20547,3,2,3,"15d519902ba3589b"
33408,27833,3,3,4,"15d519902ba3589b"
42373,35933,2,2,5,"15d519902ba3589b"
51768,44500,3,3,6,"15d519902ba3589b"
57219,54031,3,3,7,"15d519902ba3589b"
65537,63411,2,2,8,"15d519902ba3589b"
75902,73139,3,3,9,"15d519902ba3589b"
89310,82052,3,2,10,"15d519902ba3589b"
97627,92929,2,2,11,"15d519902ba3589b"
103969,101528,3,3,12,"15d519902ba3589b"
109464,106636,3,3,13,"15d519902ba3589b"
119445,115416,3,3,14,"15d519902ba3589b"
122571,120340,2,2,15,"15d519902ba3589b"
130349,126250,2,2,16,"15d519902ba3589b"
137782,136160,3,2,17,"15d519902ba3589b"
143287,141156,2,2,18,"15d519902ba3589b"
153145,151508,3,3,19,"15d519902ba3589b"
162885,159363,3,2,20,"15d519902ba3589b"
169609,165189,3,2,21,"15d519902ba3589b"
178689,174995,3,2,22,"15d519902ba3589b"
187011,183701,3,2,23,"15d519902ba3589b"
9372,11,3,2,1,"16abf70c8fc8f663"
16142,14008,3,3,2,"16abf70c8fc8f663"
27802,23461,2,3,3,"16abf70c8fc8f663"
36489,31028,2,2,4,"16abf70c8fc8f663"
40612,38599,2,2,5,"16abf70c8fc8f663"
47742,44353,2,2,6,"16abf70c8fc8f663"
57723,54273,2,3,7,"16abf70c8fc8f663"
67357,61518,2,2,8,"16abf70c8fc8f663"
77600,71489,2,2,9,"16abf70c8fc8f663"
86019,78721,3,3,10,"16abf70c8fc8f663"
90799,87864,2,2,11,"16abf70c8fc8f663"
97924,94744,3,3,12,"16abf70c8fc8f663"
103563,101541,3,3,13,"16abf70c8fc8f663"
112357,109179,3,3,14,"16abf70c8fc8f663"
121695,115288,2,2,15,"16abf70c8fc8f663"
129395,125787,3,3,16,"16abf70c8fc8f663"
137305,131935,3,3,17,"16abf70c8fc8f663"
143552,140574,3,3,18,"16abf70c8fc8f663"
149296,145169,3,3,19,"16abf70c8fc8f663"
157512,154067,2,2,20,"16abf70c8fc8f663"
4143,102,3,2,1,"17050cb8651b49f1"
9381,6836,3,2,2,"17050cb8651b49f1"
12968,10165,2,2,3,"17050cb8651b49f1"
20966,15323,3,3,4,"17050cb8651b49f1"
25659,22717,2,2,5,"17050cb8651b49f1"
32258,29579,3,3,6,"17050cb8651b49f1"
40814,38539,3,3,7,"17050cb8651b49f1"
48897,45763,3,3,8,"17050cb8651b49f1"
52631,49716,3,3,9,"17050cb8651b49f1"
57250,54443,3,3,10,"17050cb8651b49f1"
65576,59713,2,3,11,"17050cb8651b49f1"
70707,68203,3,2,12,"17050cb8651b49f1"
79562,76939,2,2,13,"17050cb8651b49f1"
83276,80654,2,2,14,"17050cb8651b49f1"
87739,84544,3,3,15,"17050cb8651b49f1"
95080,91460,2,2,16,"17050cb8651b49f1"
100231,97839,2,2,17,"17050cb8651b49f1"
103660,101005,2,3,18,"17050cb8651b49f1"
113799,109965,3,3,19,"17050cb8651b49f1"
123309,117975,3,3,20,"17050cb8651b49f1"
127569,124581,2,2,21,"17050cb8651b49f1"
134169,132021,3,3,22,"17050cb8651b49f1"
144788,141997,3,2,23,"17050cb8651b49f1"
4134,981,3,3,1,"170b0765d43fb325"
