"weapon_type","weapon_name","is_trade_kill","tick","start_tick","killer_side","winner_side","round_number","match_checksum"
pistol,Glock-18,false,12552,7777,2,3,1,"10a3d1f30f1855c9"
rifle,M4A1,false,51396,45424,3,2,6,"10a3d1f30f1855c9"
smg,MP9,false,58973,56161,3,2,7,"10a3d1f30f1855c9"
rifle,AK-47,false,76673,72944,2,2,9,"10a3d1f30f1855c9"
rifle,AK-47,false,93046,89426,2,2,11,"10a3d1f30f1855c9"
rifle,M4A1,false,99322,96894,3,2,12,"10a3d1f30f1855c9"
pistol,Glock-18,false,106309,102584,2,3,13,"10a3d1f30f1855c9"
rifle,AK-47,false,116948,114114,2,3,15,"10a3d1f30f1855c9"
rifle,M4A1,false,132015,128727,3,3,17,"10a3d1f30f1855c9"
rifle,M4A1,false,140198,137815,3,3,18,"10a3d1f30f1855c9"
pistol,Dual Berettas,false,9393,5975,3,2,1,"115deb593c2d248e"
rifle,M4A1,false,31067,28675,3,3,5,"115deb593c2d248e"
sniper,AWP,false,39069,33757,2,2,6,"115deb593c2d248e"
rifle,M4A1,false,47050,44966,3,3,7,"115deb593c2d248e"
rifle,AK-47,false,59465,57159,2,3,10,"115deb593c2d248e"
sniper,AWP,false,74181,71873,2,2,12,"115deb593c2d248e"
pistol,P250,false,85027,81568,2,3,13,"115deb593c2d248e"
rifle,AK-47,false,117561,112312,3,3,18,"115deb593c2d248e"
grenade,HE Grenade,false,136404,131756,3,3,20,"115deb593c2d248e"
pistol,USP-S,false,9610,4438,3,3,1,"11a93513ed49b67e"
rifle,M4A1,false,18596,16760,3,2,3,"11a93513ed49b67e"
rifle,M4A1,false,28482,25596,3,3,4,"11a93513ed49b67e"
rifle,AK-47,false,43489,41377,3,2,6,"11a93513ed49b67e"
rifle,M4A1,false,69750,67314,3,2,10,"11a93513ed49b67e"
rifle,AK-47,false,79322,76329,3,3,11,"11a93513ed49b67e"
sniper,AWP,false,87939,85971,3,2,12,"11a93513ed49b67e"
pistol,USP-S,false,97849,94827,3,3,13,"11a93513ed49b67e"
rifle,M4A1,false,109478,107180,3,2,15,"11a93513ed49b67e"
rifle,AK-47,false,132851,127186,3,3,18,"11a93513ed49b67e"
rifle,AK-47,false,145248,135345,2,3,19,"11a93513ed49b67e"
pistol,Glock-18,false,3792,106,2,2,1,"1200c1009d4cc65f"
rifle,AK-47,false,12735,8249,2,2,3,"1200c1009d4cc65f"
rifle,M4A1,false,27729,25629,3,3,5,"1200c1009d4cc65f"
sniper,AWP,false,34537,33014,2,2,6,"1200c1009d4cc65f"
rifle,AK-47,false,43995,41682,2,2,7,"1200c1009d4cc65f"
sniper,AWP,false,48739,47228,2,2,8,"1200c1009d4cc65f"
rifle,AK-47,false,63924,59856,2,2,9,"1200c1009d4cc65f"
sniper,AWP,false,69443,67852,2,2,10,"1200c1009d4cc65f"
pistol,Glock-18,false,87052,84491,2,2,13,"1200c1009d4cc65f"
rifle,AK-47,false,110500,107356,2,2,16,"1200c1009d4cc65f"
rifle,AK-47,false,117206,115328,3,3,17,"1200c1009d4cc65f"
pistol,P2000,false,6442,4062,3,3,1,"126487747bcfd5c"
rifle,M4A1,false,27158,21120,3,3,4,"126487747bcfd5c"
sniper,AWP,false,39809,37720,2,2,6,"126487747bcfd5c"
grenade,HE Grenade,false,54773,50540,2,2,7,"126487747bcfd5c"
rifle,M4A1,false,69467,63257,3,3,9,"126487747bcfd5c"
world,World,false,73292,71166,3,3,10,"126487747bcfd5c"
rifle,AK-47,false,88080,80254,2,2,11,"126487747bcfd5c"
rifle,M4A1,false,102653,96615,3,3,12,"126487747bcfd5c"
rifle,M4A1,false,107205,104579,3,3,13,"126487747bcfd5c"
pistol,USP-S,false,116227,113873,3,3,14,"126487747bcfd5c"
rifle,FAMAS,false,133968,129226,3,2,16,"126487747bcfd5c"
rifle,AK-47,false,155406,153090,3,3,19,"126487747bcfd5c"
