"killer_x","killer_y","killer_z","victim_x","victim_y","victim_z","killer_side","victim_side","match_checksum"
-317.466064,-705.10614,-263.488831,275.313141,-384.262817,-165.563232,3,2,"472ac3e23ebc878b"
17.082413,-406.914185,-175.96875,-287.735352,-749.123108,-257.909119,2,3,"472ac3e23ebc878b"
-514.389648,-776.996277,-256.410095,-8.346069,-397.263855,-167.96875,3,2,"472ac3e23ebc878b"
-986.345703,-676.269043,-263.96875,-1031.272827,29.134426,-367.96875,3,2,"472ac3e23ebc878b"
300.358887,-1471.514282,-175.96875,-343.575317,-1998.728027,-174.896545,3,2,"472ac3e23ebc878b"
-865.065063,-1508.575195,-167.96875,-68.542236,-1929.434692,-167.96875,3,2,"472ac3e23ebc878b"
-1970.854126,849.937195,-23.96875,-1979.095459,693.283813,-5.140625,3,2,"472ac3e23ebc878b"
-1954.384644,848.333008,-23.96875,-2026.428223,734.457336,-47.96875,3,2,"472ac3e23ebc878b"
-776.824951,56.453846,-165.96875,-1878.77063,578.424683,-153.859375,3,2,"472ac3e23ebc878b"
-2005.738892,849.398926,-23.96875,-1891.241577,736.756592,-47.96875,3,2,"472ac3e23ebc878b"
-895.056702,219.235641,-172.261719,-1952.749268,489.03299,-164.226074,3,2,"472ac3e23ebc878b"
806.247314,-1251.901367,-108.96875,685.954224,-1288.69812,-263.451904,2,3,"472ac3e23ebc878b"
622.048584,-1674.028076,-263.485168,355.13089,-1436.056396,-175.96875,2,3,"472ac3e23ebc878b"
-1446.328979,-2267.156982,-240.286865,-567.325195,-2417.956055,-167.96875,3,2,"472ac3e23ebc878b"
111.887451,-1439.541626,-175.96875,-753.828918,-2414.121582,-172.039062,2,3,"472ac3e23ebc878b"
-1120.062744,-1175.954224,-167.96875,-1590.899536,-793.021057,-167.96875,2,3,"472ac3e23ebc878b"
-995.034302,-436.088867,-317.920654,-520.062866,-1075.140381,-167.96875,2,3,"472ac3e23ebc878b"
-792.12207,-971.992188,-167.96875,-258.424438,-358.642334,-166.730225,3,2,"472ac3e23ebc878b"
