"match_checksum","number","winner_side"
"472ac3e23ebc878b",1,3
"472ac3e23ebc878b",2,3
"472ac3e23ebc878b",3,2
"472ac3e23ebc878b",4,2
"472ac3e23ebc878b",5,2
"472ac3e23ebc878b",6,3
"472ac3e23ebc878b",7,3
"472ac3e23ebc878b",8,3
"472ac3e23ebc878b",9,3
"472ac3e23ebc878b",10,2
"472ac3e23ebc878b",11,2
"472ac3e23ebc878b",12,2
"23c081609773aaf2",1,2
"23c081609773aaf2",2,2
"23c081609773aaf2",3,2
"23c081609773aaf2",4,2
"23c081609773aaf2",5,2
"23c081609773aaf2",6,2
"23c081609773aaf2",7,2
"23c081609773aaf2",8,2
"23c081609773aaf2",9,3
"23c081609773aaf2",10,2
"23c081609773aaf2",11,2
"23c081609773aaf2",12,3
"568fec5b6649fa4",1,2
"568fec5b6649fa4",2,2
"568fec5b6649fa4",3,2
"568fec5b6649fa4",4,2
"568fec5b6649fa4",5,3
"568fec5b6649fa4",6,2
"568fec5b6649fa4",7,2
"568fec5b6649fa4",8,3
"568fec5b6649fa4",9,2
"568fec5b6649fa4",10,3
"568fec5b6649fa4",11,3
"568fec5b6649fa4",12,2
"45959b056841cf0b",1,2
"45959b056841cf0b",2,3
"45959b056841cf0b",3,3
"45959b056841cf0b",4,3
"45959b056841cf0b",5,3
"45959b056841cf0b",6,3
"45959b056841cf0b",7,3
"45959b056841cf0b",8,3
"45959b056841cf0b",9,3
"45959b056841cf0b",10,2
"45959b056841cf0b",11,2
"45959b056841cf0b",12,3
c880448b9d9939bc,1,3
c880448b9d9939bc,2,2
c880448b9d9939bc,3,2
c880448b9d9939bc,4,2
c880448b9d9939bc,5,3
c880448b9d9939bc,6,3
c880448b9d9939bc,7,3
c880448b9d9939bc,8,3
c880448b9d9939bc,9,3
c880448b9d9939bc,10,2
c880448b9d9939bc,11,3
c880448b9d9939bc,12,2
fd4642781bb75169,1,3
fd4642781bb75169,2,3
fd4642781bb75169,3,3
fd4642781bb75169,4,3
fd4642781bb75169,5,3
fd4642781bb75169,6,2
fd4642781bb75169,7,2
fd4642781bb75169,8,3
fd4642781bb75169,9,2
fd4642781bb75169,10,3
fd4642781bb75169,11,3
fd4642781bb75169,12,3
e3542081c758cc39,1,3
e3542081c758cc39,2,3
e3542081c758cc39,3,2
e3542081c758cc39,4,2
e3542081c758cc39,5,2
e3542081c758cc39,6,2
e3542081c758cc39,7,2
e3542081c758cc39,8,3
e3542081c758cc39,9,3
e3542081c758cc39,10,3
e3542081c758cc39,11,3
e3542081c758cc39,12,2
"5cb8c0ec2d76bf",1,3
"5cb8c0ec2d76bf",3,2
"5cb8c0ec2d76bf",4,3
"5cb8c0ec2d76bf",5,3
"5cb8c0ec2d76bf",6,3
"5cb8c0ec2d76bf",7,2
"5cb8c0ec2d76bf",8,3
"5cb8c0ec2d76bf",9,3
"5cb8c0ec2d76bf",10,2
"5cb8c0ec2d76bf",11,3
"5cb8c0ec2d76bf",12,3
"668c692473314dc9",1,2
"668c692473314dc9",2,2
"668c692473314dc9",3,2
"668c692473314dc9",4,2
"668c692473314dc9",5,2
"668c692473314dc9",6,2
"668c692473314dc9",7,3
"668c692473314dc9",8,2
"668c692473314dc9",9,2
"668c692473314dc9",10,3
"668c692473314dc9",11,2
"668c692473314dc9",12,3
edbafc84cda128bd,1,3
edbafc84cda128bd,2,3
edbafc84cda128bd,3,2
edbafc84cda128bd,4,3
edbafc84cda128bd,5,3
edbafc84cda128bd,6,3
edbafc84cda128bd,7,3
edbafc84cda128bd,8,3
edbafc84cda128bd,9,3
edbafc84cda128bd,10,2
edbafc84cda128bd,11,3
edbafc84cda128bd,12,2
"4f3a1b10411d51f4",1,3
"4f3a1b10411d51f4",2,3
"4f3a1b10411d51f4",3,3
"4f3a1b10411d51f4",4,3
"4f3a1b10411d51f4",5,3
"4f3a1b10411d51f4",6,3
"4f3a1b10411d51f4",7,2
"4f3a1b10411d51f4",8,3
"4f3a1b10411d51f4",9,3
"4f3a1b10411d51f4",10,2
"4f3a1b10411d51f4",11,3
"4f3a1b10411d51f4",12,2
"3d509c234096d43a",1,2
"3d509c234096d43a",2,2
"3d509c234096d43a",3,3
"3d509c234096d43a",4,3
"3d509c234096d43a",5,3
"3d509c234096d43a",6,3
"3d509c234096d43a",7,3
"3d509c234096d43a",8,3
"3d509c234096d43a",9,3
"3d509c234096d43a",10,3
"3d509c234096d43a",11,3
"3d509c234096d43a",12,3
"2dcf733686e46889",1,3
"2dcf733686e46889",2,3
"2dcf733686e46889",3,3
"2dcf733686e46889",4,3
"2dcf733686e46889",5,3
"2dcf733686e46889",6,2
"2dcf733686e46889",7,3
"2dcf733686e46889",8,2
"2dcf733686e46889",9,2
"2dcf733686e46889",10,2
"2dcf733686e46889",11,2
"2dcf733686e46889",12,2
"3cae720b95a885a8",1,3
"3cae720b95a885a8",2,3
"3cae720b95a885a8",3,2
"3cae720b95a885a8",4,3
"3cae720b95a885a8",5,2
"3cae720b95a885a8",6,3
"3cae720b95a885a8",7,3
"3cae720b95a885a8",8,3
"3cae720b95a885a8",9,2
"3cae720b95a885a8",10,2
"3cae720b95a885a8",11,2
"3cae720b95a885a8",12,3
a5f32090846c4a01,1,2
a5f32090846c4a01,2,2
a5f32090846c4a01,3,3
a5f32090846c4a01,4,2
a5f32090846c4a01,5,3
a5f32090846c4a01,6,3
a5f32090846c4a01,7,2
a5f32090846c4a01,8,2
a5f32090846c4a01,9,2
a5f32090846c4a01,10,3
a5f32090846c4a01,11,2
a5f32090846c4a01,12,2
e2299fe3e7eab280,1,2
e2299fe3e7eab280,2,2
e2299fe3e7eab280,3,2
e2299fe3e7eab280,4,2
e2299fe3e7eab280,5,3
e2299fe3e7eab280,6,3
e2299fe3e7eab280,7,3
e2299fe3e7eab280,8,2
e2299fe3e7eab280,9,2
e2299fe3e7eab280,10,2
e2299fe3e7eab280,11,2
e2299fe3e7eab280,12,3
"30a44e42b240657d",1,2
"30a44e42b240657d",2,2
"30a44e42b240657d",3,2
"30a44e42b240657d",4,3
"30a44e42b240657d",5,2
"30a44e42b240657d",6,3
"30a44e42b240657d",7,2
"30a44e42b240657d",8,2
"30a44e42b240657d",9,2
"30a44e42b240657d",10,3
"30a44e42b240657d",11,2
"30a44e42b240657d",12,2
"7b0c9960c780b1d3",1,3
"7b0c9960c780b1d3",2,3
"7b0c9960c780b1d3",3,3
"7b0c9960c780b1d3",4,3
"7b0c9960c780b1d3",5,3
"7b0c9960c780b1d3",6,3
"7b0c9960c780b1d3",7,3
