"checksum","demo_path","game_type","game_mode","game_mode_str","is_ranked","kill_count","death_count","assist_count","shot_count","analyze_date","winner_name","winner_side","overtime_count","max_rounds","has_vac_live_ban"
"472ac3e23ebc878b",/home/stcaillou/Downloads/vitality-vs-the-mongolz-m1-mirage.dem,0,0,casual,false,199,199,70,4409,2026-03-24 06:56:50.559 +0000,Team Vitality,3,1,24,false
"23c081609773aaf2",/home/pierrer/PipelineCS/DL/103400/hemmaplan-vs-heroic-academy-ancient.dem,0,0,casual,false,113,115,43,2163,2026-03-24 11:11:47.577 +0000,HEROIC Academy26,3,0,24,false
"568fec5b6649fa4",/home/pierrer/PipelineCS/DL/103401/semperfi-vs-tricked-inferno.dem,0,0,casual,false,110,110,44,2437,2026-03-24 11:13:13.855 +0000,SEMPERFI2,3,0,24,false
"45959b056841cf0b",/home/pierrer/PipelineCS/DL/103402/sashi-vs-megoshort-mirage.dem,0,0,casual,false,169,170,62,3121,2026-03-24 11:15:35.377 +0000,SashiEsport,2,0,24,false
c880448b9d9939bc,/home/pierrer/PipelineCS/DL/103403/fut-academy-vs-chicken-burger-m2-overpass.dem,0,0,casual,false,163,166,63,3471,2026-03-24 11:17:36.879 +0000,FUT AC,3,0,24,false
fd4642781bb75169,/home/pierrer/PipelineCS/DL/103403/fut-academy-vs-chicken-burger-m1-mirage.dem,0,0,casual,false,127,131,37,2353,2026-03-24 11:19:01.445 +0000,FUT AC,2,0,24,false
e3542081c758cc39,/home/pierrer/PipelineCS/DL/103404/minlate-vs-saw-m2-dust2.dem,0,0,casual,false,133,136,50,3039,2026-03-24 11:21:22.831 +0000,SAW,3,0,24,false
"5cb8c0ec2d76bf",/home/pierrer/PipelineCS/DL/103404/minlate-vs-saw-m3-mirage.dem,0,0,casual,false,122,122,48,2440,2026-03-24 11:22:54.010 +0000,MINLATE,2,0,24,false
"668c692473314dc9",/home/pierrer/PipelineCS/DL/103404/minlate-vs-saw-m2-nuke.dem,0,0,casual,false,117,118,42,2595,2026-03-24 11:23:58.169 +0000,MINLATE,3,0,24,false
edbafc84cda128bd,/home/pierrer/PipelineCS/DL/103405/aab-vs-state-inferno.dem,0,0,casual,false,152,152,58,3971,2026-03-24 11:26:06.405 +0000,AaB esport...,2,0,24,false
"4f3a1b10411d51f4",/home/pierrer/PipelineCS/DL/103406/johnny-speeds-vs-infinite-nuke.dem,0,0,casual,false,153,153,44,2526,2026-03-24 11:29:11.784 +0000,Johnny Speeds,2,0,24,false
"3d509c234096d43a",/home/pierrer/PipelineCS/DL/103407/hemmaplan-vs-semperfi-mirage.dem,0,0,casual,false,115,115,45,1845,2026-03-24 11:30:46.644 +0000,SEMPERFI2,2,0,24,false
