"id","match_checksum","number","start_tick","start_frame","freeze_time_end_tick","freeze_time_end_frame","end_tick","end_frame","end_officially_tick","end_officially_frame","team_a_name","team_b_name","team_a_score","team_b_score","team_a_side","team_b_side","team_a_start_money","team_b_start_money","team_a_equipment_value","team_b_equipment_value","team_a_money_spent","team_b_money_spent","team_a_economy_type","team_b_economy_type","duration","end_reason","winner_name","winner_side","overtime_number"
1,"472ac3e23ebc878b",1,1025,1134,2304,2500,7631,8185,8079,8669,Team Vitality,The MongolZ,1,0,3,2,4000,4000,4300,4450,3300,3350,pistol,pistol,103118,8,Team Vitality,3,0
2,"472ac3e23ebc878b",2,8079,8669,9359,10031,14462,15484,14910,15958,Team Vitality,The MongolZ,2,0,3,2,19700,10450,22100,1000,19000,0,semi,eco,99667,8,Team Vitality,3,0
3,"472ac3e23ebc878b",3,14910,15958,16190,17329,23426,25057,23874,25535,Team Vitality,The MongolZ,2,1,3,2,19700,22450,24800,23700,4900,22300,full,full,133069,1,The MongolZ,2,0
4,"472ac3e23ebc878b",4,23874,25535,25154,26902,33501,35814,33949,36292,Team Vitality,The MongolZ,2,2,3,2,22350,19150,25500,25000,20400,9200,full,full,150327,1,The MongolZ,2,0
5,"472ac3e23ebc878b",5,33949,36292,35229,37660,40859,43672,41307,44155,Team Vitality,The MongolZ,2,3,3,2,12550,28950,7400,27250,2400,14050,semi,full,107930,9,The MongolZ,2,0
6,"472ac3e23ebc878b",6,41307,44155,42587,45518,47113,50353,47561,50828,Team Vitality,The MongolZ,3,3,3,2,23250,32950,23850,27850,22850,11800,full,full,90643,8,Team Vitality,3,0
7,"472ac3e23ebc878b",7,47561,50828,48841,52197,52251,55842,52699,56316,Team Vitality,The MongolZ,4,3,3,2,19200,28750,28050,24500,14700,23100,full,full,73328,7,Team Vitality,3,0
8,"472ac3e23ebc878b",8,52699,56316,53979,57688,57615,61570,58063,62046,Team Vitality,The MongolZ,5,3,3,2,24850,18750,28500,19000,8450,17800,full,force-buy,76838,8,Team Vitality,3,0
9,"472ac3e23ebc878b",9,58063,62046,59343,63415,61986,66235,62434,66717,Team Vitality,The MongolZ,6,3,3,2,35200,13550,30250,4250,13200,4050,full,eco,61262,8,Team Vitality,3,0
10,"472ac3e23ebc878b",10,64354,68767,65634,70131,71071,75941,71519,76415,Team Vitality,The MongolZ,6,4,3,2,40800,24550,32350,24950,9700,23750,full,full,104917,9,The MongolZ,2,0
11,"472ac3e23ebc878b",11,71519,76415,72799,77785,78103,83445,78551,83928,Team Vitality,The MongolZ,6,5,3,2,39350,18850,28200,25750,27200,14700,full,full,102811,9,The MongolZ,2,0
12,"472ac3e23ebc878b",12,80471,85978,81751,87341,84385,90154,88225,94265,Team Vitality,The MongolZ,6,6,3,2,22200,21800,22650,27750,21350,10300,full,full,61072,9,The MongolZ,2,0
13,"472ac3e23ebc878b",13,88225,94265,89505,95646,91411,97679,91859,98156,Team Vitality,The MongolZ,6,7,2,3,4000,4000,4650,4000,3350,3400,pistol,pistol,49928,8,The MongolZ,3,0
14,"472ac3e23ebc878b",14,91859,98156,93139,99525,99295,106101,99743,106575,Team Vitality,The MongolZ,6,8,2,3,10150,19600,1100,22250,300,19250,eco,semi,116193,8,The MongolZ,3,0
15,"472ac3e23ebc878b",15,99743,106575,101023,107947,105307,112518,105755,112994,Team Vitality,The MongolZ,6,9,2,3,21850,19650,22500,25750,21500,5500,full,full,86914,8,The MongolZ,3,0
16,"472ac3e23ebc878b",16,105755,112994,107035,114362,111451,119079,111899,119555,Team Vitality,The MongolZ,7,9,2,3,16050,33450,8350,29150,8050,24050,semi,full,88991,9,Team Vitality,2,0
17,"472ac3e23ebc878b",17,114400,122226,115680,123595,121544,129858,121992,130337,Team Vitality,The MongolZ,8,9,2,3,26950,18300,25500,16150,20600,9950,full,semi,111615,1,Team Vitality,2,0
18,"472ac3e23ebc878b",18,121992,130337,123272,131704,131520,140512,131968,140992,Team Vitality,The MongolZ,8,10,2,3,25350,18750,27850,22300,13500,17900,full,force-buy,148806,7,The MongolZ,3,0
19,"472ac3e23ebc878b",19,131968,140992,133248,142356,139144,148650,139592,149132,Team Vitality,The MongolZ,9,10,2,3,25250,21700,23250,28200,22550,13400,full,full,111995,9,Team Vitality,2,0
20,"472ac3e23ebc878b",20,139592,149132,140872,150495,145766,155728,146214,156203,Team Vitality,The MongolZ,10,10,2,3,20750,17500,21600,17950,17900,17150,full,force-buy,96464,9,Team Vitality,2,0
21,"472ac3e23ebc878b",21,146214,156203,147494,157574,151573,161927,152021,162402,Team Vitality,The MongolZ,11,10,2,3,20900,10750,27350,1500,13200,700,full,eco,83711,9,Team Vitality,2,0
22,"472ac3e23ebc878b",22,153941,164452,155221,165822,160006,170933,160454,171407,Team Vitality,The MongolZ,11,11,2,3,25750,22600,27450,23300,8100,22300,full,full,94782,8,The MongolZ,3,0
23,"472ac3e23ebc878b",23,160454,171407,161734,172779,165818,177137,166266,177617,Team Vitality,The MongolZ,12,11,2,3,25350,19300,24950,26500,23550,16500,full,full,83799,9,Team Vitality,2,0
24,"472ac3e23ebc878b",24,166266,177617,167546,178981,172692,184479,173332,185160,Team Vitality,The MongolZ,12,12,2,3,19550,13500,25400,14900,13000,13000,full,force-buy,100354,8,The MongolZ,3,0
25,"472ac3e23ebc878b",25,173332,185160,174612,186530,181217,193582,181665,194066,Team Vitality,The MongolZ,13,12,2,3,50000,50000,26750,28650,25750,27250,full,full,123169,9,Team Vitality,2,1
26,"472ac3e23ebc878b",26,183772,196314,185052,197676,189746,202694,190194,203168,Team Vitality,The MongolZ,14,12,2,3,42300,34250,27250,28600,21650,27200,full,full,93305,9,Team Vitality,2,1
27,"472ac3e23ebc878b",27,190194,203168,191474,204539,198677,212226,199317,212926,Team Vitality,The MongolZ,14,13,2,3,38300,19600,27350,20100,8400,19100,full,force-buy,132470,8,The MongolZ,3,1
28,"472ac3e23ebc878b",28,199317,212926,200597,214301,207514,221688,207962,222166,Team Vitality,The MongolZ,15,13,3,2,50000,50000,30000,26950,29000,26250,full,full,128141,7,Team Vitality,3,1
29,"472ac3e23ebc878b",29,207962,222166,209242,223533,212563,227078,212563,227078,Team Vitality,The MongolZ,16,13,3,2,37900,25050,30100,25500,20800,25300,full,full,71836,8,Team Vitality,3,1
62,"45959b056841cf0b",1,4818,5120,6097,6469,10575,11178,11023,11653,SashiEsport,megoshort!,0,1,3,2,0,0,4000,4750,3400,3350,eco,eco,89928,9,megoshort!,2,0
63,"45959b056841cf0b",2,11023,11653,12303,12996,17893,18878,18341,19355,SashiEsport,megoshort!,1,1,3,2,12550,18700,11650,19000,11150,18300,force-buy,semi,107251,8,SashiEsport,3,0
64,"45959b056841cf0b",3,18341,19355,19621,20697,24913,26269,25361,26737,SashiEsport,megoshort!,2,1,3,2,20400,8300,23300,8300,14250,8000,full,force-buy,102635,8,SashiEsport,3,0
65,"45959b056841cf0b",4,25361,26737,26641,28086,30797,32461,31245,32932,SashiEsport,megoshort!,3,1,3,2,25450,11000,24000,1000,17900,0,full,eco,84970,8,SashiEsport,3,0
66,"45959b056841cf0b",5,31245,32932,32525,34279,38796,40874,39244,41348,SashiEsport,megoshort!,4,1,3,2,27450,23300,28800,24100,9250,23100,full,full,117895,7,SashiEsport,3,0
67,"45959b056841cf0b",6,39244,41348,40524,42691,43573,45901,44021,46372,SashiEsport,megoshort!,5,1,3,2,38350,19200,30400,10250,23250,9850,full,semi,67587,8,SashiEsport,3,0
68,"45959b056841cf0b",7,44021,46372,45301,47719,52562,55362,53010,55830,SashiEsport,megoshort!,6,1,3,2,33900,26650,31500,25100,8800,24400,full,full,133452,7,SashiEsport,3,0
69,"45959b056841cf0b",8,53010,55830,54290,57180,60805,64036,61253,64504,SashiEsport,megoshort!,7,1,3,2,45450,23750,30950,23900,24550,22900,full,full,121814,8,SashiEsport,3,0
70,"45959b056841cf0b",9,61253,64504,62533,65855,66123,69632,66571,70104,SashiEsport,megoshort!,8,1,3,2,39500,18750,30850,12650,18600,12750,full,semi,76122,8,SashiEsport,3,0
71,"45959b056841cf0b",10,66571,70104,67851,71449,75502,79498,75950,79974,SashiEsport,megoshort!,8,2,3,2,39700,23300,30850,24200,10200,22900,full,full,139449,9,megoshort!,2,0
72,"45959b056841cf0b",11,75950,79974,77230,81317,83952,88390,84400,88866,SashiEsport,megoshort!,8,3,3,2,37600,18450,30800,26950,29800,12900,full,full,124931,1,megoshort!,2,0
73,"45959b056841cf0b",12,86320,90886,87600,92228,91148,95965,91692,96549,SashiEsport,megoshort!,9,3,3,2,18200,24550,24900,27650,17850,14650,full,full,75395,8,SashiEsport,3,0
74,"45959b056841cf0b",13,91692,96549,93388,98343,96911,102051,97359,102525,SashiEsport,megoshort!,9,4,2,3,4000,4000,4300,4400,3300,3400,pistol,pistol,81674,8,megoshort!,3,0
75,"45959b056841cf0b",14,97359,102525,98639,103868,104568,110105,105016,110583,SashiEsport,megoshort!,9,5,2,3,10200,19600,1000,23050,0,19000,eco,full,112521,8,megoshort!,3,0
76,"45959b056841cf0b",15,105016,110583,106296,111923,112997,118975,113445,119450,SashiEsport,megoshort!,10,5,2,3,22200,19600,22500,26350,21500,6100,full,full,124575,9,SashiEsport,2,0
77,"45959b056841cf0b",16,113445,119450,114725,120792,117211,123409,117659,123882,SashiEsport,megoshort!,10,6,2,3,18750,22150,23700,22700,14100,21700,full,full,58769,8,megoshort!,3,0
78,"45959b056841cf0b",17,117659,123882,118939,125226,122358,128826,122806,129294,SashiEsport,megoshort!,10,7,2,3,14450,19250,3150,28800,2750,11850,eco,full,73391,8,megoshort!,3,0
79,"45959b056841cf0b",18,125308,131928,126588,133277,133533,140584,133981,141058,SashiEsport,megoshort!,10,8,2,3,23700,26000,24000,30000,23000,5100,full,full,128494,8,megoshort!,3,0
80,"45959b056841cf0b",19,133981,141058,135261,142402,140118,147515,140566,147988,SashiEsport,megoshort!,10,9,2,3,15800,39700,8000,30350,8600,16100,semi,full,95851,7,megoshort!,3,0
81,"45959b056841cf0b",20,140566,147988,141846,149332,148761,156609,149209,157082,SashiEsport,megoshort!,11,9,2,3,28100,43600,25400,30550,21400,13900,full,full,127974,9,SashiEsport,2,0
82,"45959b056841cf0b",21,149209,157082,150489,158428,155271,163459,155719,163934,SashiEsport,megoshort!,12,9,2,3,24750,37250,27550,30000,8400,29200,full,full,94663,9,SashiEsport,2,0
83,"45959b056841cf0b",22,155719,163934,156999,165276,163778,172414,164226,172882,SashiEsport,megoshort!,12,10,2,3,34400,18650,27550,20300,11800,18400,full,force-buy,125881,7,megoshort!,3,0
84,"45959b056841cf0b",23,164226,172882,165506,174232,171996,181059,171996,181059,SashiEsport,megoshort!,13,10,2,3,30100,9100,27150,26250,26150,19000,full,full,121383,9,SashiEsport,2,0
109,fd4642781bb75169,1,5980,6396,7675,8196,11695,12469,12143,12945,FUT AC,ChickenBurger,1,0,3,2,4000,4000,4000,4200,3400,3400,pistol,pistol,90282,7,FUT AC,3,0
110,fd4642781bb75169,2,12143,12945,13423,14305,16723,17814,17171,18286,FUT AC,ChickenBurger,2,0,3,2,21150,14300,22300,15200,20900,14000,semi,force-buy,72383,8,FUT AC,3,0
111,fd4642781bb75169,3,17171,18286,18451,19650,25383,27016,25831,27488,FUT AC,ChickenBurger,3,0,3,2,19250,12300,27400,3950,7300,3950,full,eco,129782,8,FUT AC,3,0
112,fd4642781bb75169,4,25831,27488,27111,28853,35284,37536,35732,38016,FUT AC,ChickenBurger,4,0,3,2,30950,24300,30400,24700,15400,23700,full,full,149376,7,FUT AC,3,0
113,fd4642781bb75169,5,35732,38016,37012,39371,42882,45611,43330,46084,FUT AC,ChickenBurger,5,0,3,2,35700,22100,30350,21900,22600,21500,full,full,112909,8,FUT AC,3,0
114,fd4642781bb75169,6,43330,46084,44610,47447,49572,52722,50020,53195,FUT AC,ChickenBurger,5,1,3,2,32100,18800,29850,12300,23450,11900,full,semi,98682,1,ChickenBurger,2,0
115,fd4642781bb75169,7,50020,53195,51300,54559,56222,59787,56670,60266,FUT AC,ChickenBurger,5,2,3,2,17700,25600,27600,25950,16450,25250,full,full,97998,1,ChickenBurger,2,0
116,fd4642781bb75169,8,59179,62932,60459,64291,68817,73172,69265,73648,FUT AC,ChickenBurger,6,2,3,2,12150,19050,12650,24350,1600,17200,semi,full,152230,7,FUT AC,3,0
117,fd4642781bb75169,9,72169,76432,73449,77647,81153,84895,81601,85321,FUT AC,ChickenBurger,6,3,3,2,30700,17950,30950,18700,24500,17700,full,force-buy,125813,1,ChickenBurger,2,0
118,fd4642781bb75169,10,81601,85321,82881,86676,89219,93412,89667,93893,FUT AC,ChickenBurger,7,3,3,2,15000,19250,22450,22200,14500,17000,force-buy,full,120283,7,FUT AC,3,0
119,fd4642781bb75169,11,89667,93893,90947,95248,96927,101630,97375,102103,FUT AC,ChickenBurger,8,3,3,2,21450,16250,27400,16800,19550,16000,full,force-buy,115020,7,FUT AC,3,0
120,fd4642781bb75169,12,97375,102103,98655,103466,100977,105933,102883,107959,FUT AC,ChickenBurger,9,3,3,2,21850,16750,28200,17550,19950,16550,full,force-buy,56937,8,FUT AC,3,0
121,fd4642781bb75169,13,102883,107959,104579,109762,108158,113565,108606,114042,FUT AC,ChickenBurger,9,4,2,3,4000,4000,4700,4300,3400,3300,pistol,pistol,83340,8,ChickenBurger,3,0
122,fd4642781bb75169,14,108606,114042,109886,115401,118170,124207,118618,124681,FUT AC,ChickenBurger,10,4,2,3,10700,19700,1500,22100,700,19000,eco,semi,151115,1,FUT AC,2,0
123,fd4642781bb75169,15,118618,124681,119898,126043,126712,133280,127160,133758,FUT AC,ChickenBurger,11,4,2,3,29000,11050,23550,11550,22850,10750,full,force-buy,127835,9,FUT AC,2,0
124,fd4642781bb75169,16,129709,136468,130989,137826,134862,141913,135310,142361,FUT AC,ChickenBurger,12,4,2,3,23900,12050,25200,12550,16500,11950,full,force-buy,80946,9,FUT AC,2,0
125,fd4642781bb75169,17,135310,142361,136590,143641,140467,147662,140467,147662,FUT AC,ChickenBurger,13,4,2,3,40400,15600,25700,12500,2800,11900,full,force-buy,78806,9,FUT AC,2,0
150,"5cb8c0ec2d76bf",1,1,1,582,653,1914,2055,2362,2523,Team A,Team B,1,0,3,2,0,0,3250,3250,0,0,pistol,pistol,30506,8,Team A,3,0
151,"5cb8c0ec2d76bf",3,4478,4750,5756,6097,8461,8943,8909,9414,MINLATE,SAW,1,1,3,2,4000,4000,4050,4850,3450,3350,eco,eco,62276,9,SAW,2,0
152,"5cb8c0ec2d76bf",4,8909,9414,10189,10761,13600,14353,14048,14821,MINLATE,SAW,2,1,3,2,11150,18700,11800,21150,10600,18350,force-buy,full,73356,8,MINLATE,3,0
153,"5cb8c0ec2d76bf",5,14048,14821,15328,16171,21175,22320,21623,22797,MINLATE,SAW,3,1,3,2,20450,7950,26350,7550,15400,7550,full,force-buy,111378,8,MINLATE,3,0
154,"5cb8c0ec2d76bf",6,21623,22797,22903,24138,24268,25577,24716,26052,MINLATE,SAW,4,1,3,2,24050,10500,26300,2100,12650,1400,full,eco,41289,8,MINLATE,3,0
155,"5cb8c0ec2d76bf",7,24716,26052,25996,27395,33306,35089,33754,35562,MINLATE,SAW,4,2,3,2,30400,21100,26700,21800,3500,20800,full,full,134221,9,SAW,2,0
156,"5cb8c0ec2d76bf",8,33754,35562,35034,36908,40374,42524,40822,43001,MINLATE,SAW,5,2,3,2,36400,18050,30850,21700,30050,16500,full,full,103402,8,MINLATE,3,0
157,"5cb8c0ec2d76bf",9,40822,43001,42102,44342,45433,47853,45881,48322,MINLATE,SAW,6,2,3,2,25150,11650,30050,1600,14300,800,full,eco,72064,8,MINLATE,3,0
158,"5cb8c0ec2d76bf",10,47869,50411,49149,51760,54801,57708,55249,58182,MINLATE,SAW,6,3,3,2,29850,23150,30350,24400,10100,23000,full,full,108378,9,SAW,2,0
159,"5cb8c0ec2d76bf",11,55249,58182,56529,59526,60601,63814,61049,64283,MINLATE,SAW,7,3,3,2,28000,18200,26700,23800,25700,15600,full,full,83649,8,MINLATE,3,0
160,"5cb8c0ec2d76bf",12,61049,64283,62329,65633,63990,67375,64438,67852,MINLATE,SAW,8,3,3,2,20700,12100,30450,2650,7850,2050,full,eco,45923,8,MINLATE,3,0
161,"5cb8c0ec2d76bf",13,64438,67852,65718,69194,73182,77050,73630,77523,MINLATE,SAW,9,3,3,2,31650,22050,31050,22450,4800,21450,full,full,136613,7,MINLATE,3,0
162,"5cb8c0ec2d76bf",14,73630,77523,74910,78868,81818,86154,84122,88578,MINLATE,SAW,10,3,3,2,47200,19600,32250,19700,38150,19000,full,force-buy,128191,8,MINLATE,3,0
163,"5cb8c0ec2d76bf",15,84122,88578,85818,90362,90360,95145,90808,95613,MINLATE,SAW,11,3,2,3,4000,4000,4550,4200,3350,3400,pistol,pistol,97536,9,MINLATE,2,0
164,"5cb8c0ec2d76bf",16,90808,95613,92088,96963,98111,103298,98559,103774,MINLATE,SAW,12,3,2,3,18700,11750,19750,12050,18250,11450,semi,force-buy,114141,9,MINLATE,2,0
165,"5cb8c0ec2d76bf",17,98559,103774,99839,105116,102844,108282,103292,108740,MINLATE,SAW,13,3,2,3,18800,15100,19800,15600,16000,14800,semi,force-buy,66954,9,MINLATE,2,0
