"arme","temps_kill"
ak-47,52.296875
ak-47,55.671875
ak-47,70.265625
ak-47,84.609375
ak-47,58.328125
ak-47,62.4375
ak-47,64.671875
ak-47,74.421875
ak-47,13.609375
ak-47,50.53125
ak-47,81.234375
ak-47,84.46875
ak-47,87.96875
awp,19.390625
ak-47,66.53125
ak-47,12.265625
ak-47,14.4375
awp,42.171875
awp,21.578125
ak-47,39.0625
ak-47,55.984375
ak-47,56.8125
awp,23.78125
ak-47,23.984375
ak-47,34.0
ak-47,41.296875
awp,24.640625
ak-47,27.921875
awp,51.46875
ak-47,52.0
ak-47,69.75
ak-47,71.40625
ak-47,84.953125
ak-47,57.25
awp,62.71875
ak-47,71.78125
ak-47,76.15625
awp,82.875
ak-47,29.84375
ak-47,34.078125
ak-47,34.671875
ak-47,38.234375
ak-47,41.15625
mp9,66.5
ak-47,11.625
m4a1,39.5
mp9,43.640625
ak-47,45.734375
m4a1,47.296875
ak-47,58.453125
m4a1,63.875
m4a1,66.9375
ak-47,41.96875
ak-47,49.34375
m4a1,50.6875
m4a1,54.6875
ak-47,62.15625
awp,9.78125
ak-47,27.65625
ak-47,32.203125
ak-47,43.40625
ak-47,88.6875
m4a1,92.421875
m4a1,89.421875
ak-47,93.0625
mp9,97.9375
ak-47,98.609375
m4a1,110.53125
m4a1,111.625
ak-47,39.796875
ak-47,41.140625
ak-47,53.65625
ak-47,75.984375
ak-47,79.84375
ak-47,80.796875
ak-47,85.84375
ak-47,86.71875
ak-47,92.125
m4a1,22.5
awp,57.828125
ak-47,59.5625
ak-47,64.515625
ak-47,69.953125
ak-47,76.46875
ak-47,52.953125
ak-47,54.34375
ak-47,55.21875
ak-47,61.765625
ak-47,63.734375
awp,46.96875
ak-47,56.140625
ak-47,64.390625
ak-47,20.03125
ak-47,22.0
ak-47,23.71875
awp,26.328125
ak-47,31.859375
mp9,52.5
ak-47,63.8125
ak-47,34.671875
ak-47,36.984375
ak-47,38.0625
mp9,39.3125
mp9,76.140625
mp9,77.234375
ak-47,80.40625
awp,29.90625
ak-47,30.375
ak-47,32.59375
m4a1,33.109375
ak-47,34.515625
m4a1,41.90625
m4a1,94.703125
ak-47,99.3125
ak-47,103.203125
awp,7.28125
ak-47,58.21875
ak-47,58.703125
ak-47,65.578125
awp,73.34375
awp,12.78125
m4a1,45.765625
ak-47,46.34375
m4a1,48.03125
m4a1,67.328125
m4a1,73.109375
ak-47,74.96875
m4a1,112.546875
ak-47,64.921875
awp,91.265625
ak-47,93.984375
awp,94.921875
ak-47,100.046875
ak-47,21.25
ak-47,24.328125
ak-47,26.65625
awp,30.203125
ak-47,46.15625
ak-47,48.796875
ak-47,51.21875
mac-10,9.109375
mac-10,38.578125
mac-10,39.484375
ak-47,43.65625
ak-47,45.328125
m4a1,16.96875
m4a1,26.625
ak-47,27.09375
ak-47,47.296875
m4a1,15.28125
ak-47,15.390625
m4a1,23.28125
m4a1,35.890625
ak-47,39.234375
m4a1,65.953125
m4a1,12.484375
m4a1,32.09375
ak-47,34.171875
m4a1,36.625
awp,36.84375
ak-47,60.28125
m4a1,76.359375
m4a1,106.90625
ak-47,31.140625
m4a1,47.5625
awp,48.96875
ak-47,51.34375
ak-47,97.171875
m4a1,104.546875
ak-47,32.515625
ak-47,50.625
ak-47,83.15625
ak-47,89.40625
awp,90.078125
ak-47,93.09375
ak-47,15.140625
awp,19.953125
awp,21.484375
m4a1,26.328125
m4a1,50.09375
ak-47,54.515625
m4a1,13.796875
awp,20.046875
awp,23.109375
m4a1,23.703125
m4a1,25.25
ak-47,29.578125
ak-47,30.15625
ak-47,31.28125
ak-47,31.734375
awp,74.8125
ak-47,89.984375
m4a1,37.671875
m4a1,38.78125
ak-47,39.0625
ak-47,41.265625
awp,57.359375
awp,58.109375
m4a1,74.484375
ak-47,77.40625
ak-47,93.78125
ak-47,16.25
m4a1,27.265625
m4a1,27.875
ak-47,42.734375
ak-47,49.90625
ak-47,51.65625
ak-47,57.109375
m4a1,86.546875
m4a1,9.65625
m4a1,39.125
m4a1,39.828125
m4a1,41.75
m4a1,34.21875
m4a1,37.5625
m4a1,38.453125
m4a1,58.78125
ak-47,23.921875
ak-47,30.28125
ak-47,18.59375
m4a1,29.625
ak-47,55.578125
ak-47,60.75
m4a1,62.390625
ak-47,73.5625
ak-47,80.328125
m4a1,45.734375
m4a1,48.1875
ak-47,67.734375
awp,79.46875
awp,82.265625
awp,69.015625
m4a1,78.265625
m4a1,78.390625
ak-47,78.578125
ak-47,78.953125
ak-47,99.5625
awp,111.59375
ak-47,113.53125
ak-47,51.21875
ak-47,55.703125
m4a1,66.03125
awp,31.734375
ak-47,35.859375
awp,45.890625
awp,82.734375
ak-47,86.3125
ak-47,90.59375
m4a1,93.015625
m4a1,106.203125
mac-10,75.015625
mac-10,82.0625
m4a1,23.203125
mac-10,25.078125
m4a1,25.09375
awp,41.6875
ak-47,51.375
ak-47,80.765625
ak-47,84.578125
m4a1,86.25
ak-47,88.828125
ak-47,88.953125
ak-47,89.921875
ak-47,90.78125
ak-47,14.890625
awp,40.953125
awp,46.328125
ak-47,90.5
ak-47,98.21875
m4a1,21.125
mp9,24.96875
mp9,27.09375
m4a1,28.96875
mp9,30.109375
m4a1,80.640625
m4a1,81.4375
ak-47,83.328125
m4a1,83.890625
mp9,44.6875
