"weapon_name","weapon_type","map_name"
M4A1,rifle,de_overpass
M4A1,rifle,de_overpass
Galil AR,rifle,de_overpass
AWP,sniper,de_overpass
AK-47,rifle,de_overpass
M4A1,rifle,de_overpass
M4A1,rifle,de_overpass
M4A1,rifle,de_overpass
M4A1,rifle,de_overpass
Galil AR,rifle,de_overpass
Galil AR,rifle,de_overpass
Galil AR,rifle,de_overpass
Desert Eagle,pistol,de_overpass
Galil AR,rifle,de_overpass
MAC-10,smg,de_overpass
M4A1,rifle,de_overpass
Galil AR,rifle,de_overpass
M4A4,rifle,de_overpass
M4A4,rifle,de_overpass
Five-SeveN,pistol,de_overpass
AK-47,rifle,de_overpass
MAC-10,smg,de_overpass
Dual Berettas,pistol,de_overpass
P250,pistol,de_overpass
AK-47,rifle,de_overpass
AK-47,rifle,de_overpass
AK-47,rifle,de_overpass
AK-47,rifle,de_overpass
Galil AR,rifle,de_overpass
M4A1,rifle,de_overpass
M4A1,rifle,de_overpass
AK-47,rifle,de_overpass
AWP,sniper,de_overpass
M4A1,rifle,de_overpass
AK-47,rifle,de_overpass
M4A1,rifle,de_overpass
M4A4,rifle,de_overpass
M4A1,rifle,de_overpass
Desert Eagle,pistol,de_overpass
AK-47,rifle,de_overpass
AK-47,rifle,de_overpass
AK-47,rifle,de_overpass
AK-47,rifle,de_overpass
M4A1,rifle,de_overpass
Galil AR,rifle,de_overpass
M4A4,rifle,de_overpass
M4A1,rifle,de_overpass
Desert Eagle,pistol,de_overpass
Desert Eagle,pistol,de_overpass
Desert Eagle,pistol,de_overpass
M4A1,rifle,de_overpass
Desert Eagle,pistol,de_overpass
AK-47,rifle,de_overpass
AK-47,rifle,de_overpass
AK-47,rifle,de_overpass
AK-47,rifle,de_overpass
AK-47,rifle,de_overpass
M4A1,rifle,de_overpass
Tec-9,pistol,de_overpass
AK-47,rifle,de_overpass
MAC-10,smg,de_overpass
Galil AR,rifle,de_overpass
M4A1,rifle,de_overpass
AK-47,rifle,de_overpass
AWP,sniper,de_overpass
AK-47,rifle,de_overpass
Galil AR,rifle,de_overpass
AK-47,rifle,de_overpass
AK-47,rifle,de_overpass
M4A1,rifle,de_overpass
