"weapon_name","weapon_type","map_name"
USP-S,pistol,de_mirage
Glock-18,pistol,de_mirage
USP-S,pistol,de_mirage
USP-S,pistol,de_mirage
USP-S,pistol,de_mirage
USP-S,pistol,de_mirage
FAMAS,rifle,de_mirage
FAMAS,rifle,de_mirage
M4A4,rifle,de_mirage
FAMAS,rifle,de_mirage
M4A4,rifle,de_mirage
AK-47,rifle,de_mirage
AK-47,rifle,de_mirage
M4A4,rifle,de_mirage
AK-47,rifle,de_mirage
AK-47,rifle,de_mirage
AK-47,rifle,de_mirage
M4A4,rifle,de_mirage
AK-47,rifle,de_mirage
AK-47,rifle,de_mirage
AK-47,rifle,de_mirage
M4A4,rifle,de_mirage
M4A4,rifle,de_mirage
AK-47,rifle,de_mirage
AK-47,rifle,de_mirage
AK-47,rifle,de_mirage
Five-SeveN,pistol,de_mirage
AK-47,rifle,de_mirage
AK-47,rifle,de_mirage
AWP,sniper,de_mirage
M4A4,rifle,de_mirage
M4A4,rifle,de_mirage
AK-47,rifle,de_mirage
M4A4,rifle,de_mirage
M4A4,rifle,de_mirage
M4A4,rifle,de_mirage
AK-47,rifle,de_mirage
AK-47,rifle,de_mirage
AWP,sniper,de_mirage
M4A4,rifle,de_mirage
M4A4,rifle,de_mirage
AWP,sniper,de_mirage
M4A4,rifle,de_mirage
M4A4,rifle,de_mirage
AK-47,rifle,de_mirage
AK-47,rifle,de_mirage
AK-47,rifle,de_mirage
AWP,sniper,de_mirage
AK-47,rifle,de_mirage
AK-47,rifle,de_mirage
Desert Eagle,pistol,de_mirage
M4A4,rifle,de_mirage
AK-47,rifle,de_mirage
AWP,sniper,de_mirage
AK-47,rifle,de_mirage
AWP,sniper,de_mirage
AK-47,rifle,de_mirage
M4A4,rifle,de_mirage
AK-47,rifle,de_mirage
AK-47,rifle,de_mirage
AK-47,rifle,de_mirage
M4A4,rifle,de_mirage
AK-47,rifle,de_mirage
AWP,sniper,de_mirage
AK-47,rifle,de_mirage
AK-47,rifle,de_mirage
AWP,sniper,de_mirage
AK-47,rifle,de_mirage
AK-47,rifle,de_mirage
AK-47,rifle,de_mirage
AK-47,rifle,de_mirage
AK-47,rifle,de_mirage
USP-S,pistol,de_mirage
Dual Berettas,pistol,de_mirage
Dual Berettas,pistol,de_mirage
Dual Berettas,pistol,de_mirage
USP-S,pistol,de_mirage
M4A4,rifle,de_mirage
MP9,smg,de_mirage
M4A4,rifle,de_mirage
M4A4,rifle,de_mirage
M4A4,rifle,de_mirage
AK-47,rifle,de_mirage
M4A1,rifle,de_mirage
MP9,smg,de_mirage
AK-47,rifle,de_mirage
M4A1,rifle,de_mirage
AK-47,rifle,de_mirage
M4A1,rifle,de_mirage
M4A1,rifle,de_mirage
Desert Eagle,pistol,de_mirage
AK-47,rifle,de_mirage
AK-47,rifle,de_mirage
M4A1,rifle,de_mirage
M4A1,rifle,de_mirage
Tec-9,pistol,de_mirage
Tec-9,pistol,de_mirage
AK-47,rifle,de_mirage
Knife,melee,de_mirage
AWP,sniper,de_mirage
AK-47,rifle,de_mirage
AK-47,rifle,de_mirage
AK-47,rifle,de_mirage
AK-47,rifle,de_mirage
M4A1,rifle,de_mirage
M4A1,rifle,de_mirage
AK-47,rifle,de_mirage
MP9,smg,de_mirage
AK-47,rifle,de_mirage
M4A1,rifle,de_mirage
M4A1,rifle,de_mirage
AK-47,rifle,de_mirage
AK-47,rifle,de_mirage
AK-47,rifle,de_mirage
AK-47,rifle,de_mirage
AK-47,rifle,de_mirage
AK-47,rifle,de_mirage
AK-47,rifle,de_mirage
AK-47,rifle,de_mirage
AK-47,rifle,de_mirage
Galil AR,rifle,de_mirage
M4A1,rifle,de_mirage
AWP,sniper,de_mirage
AK-47,rifle,de_mirage
AK-47,rifle,de_mirage
AK-47,rifle,de_mirage
AK-47,rifle,de_mirage
AK-47,rifle,de_mirage
AK-47,rifle,de_mirage
AK-47,rifle,de_mirage
USP-S,pistol,de_mirage
AK-47,rifle,de_mirage
AK-47,rifle,de_mirage
M4A4,rifle,de_mirage
AWP,sniper,de_mirage
M4A4,rifle,de_mirage
M4A4,rifle,de_mirage
AK-47,rifle,de_mirage
AK-47,rifle,de_mirage
M4A4,rifle,de_mirage
M4A4,rifle,de_mirage
AK-47,rifle,de_mirage
AK-47,rifle,de_mirage
AK-47,rifle,de_mirage
AWP,sniper,de_mirage
AK-47,rifle,de_mirage
MP9,smg,de_mirage
AK-47,rifle,de_mirage
Five-SeveN,pistol,de_mirage
AK-47,rifle,de_mirage
AK-47,rifle,de_mirage
AK-47,rifle,de_mirage
MP9,smg,de_mirage
MP9,smg,de_mirage
MP9,smg,de_mirage
AK-47,rifle,de_mirage
AWP,sniper,de_mirage
AK-47,rifle,de_mirage
AK-47,rifle,de_mirage
M4A1,rifle,de_mirage
AK-47,rifle,de_mirage
M4A1,rifle,de_mirage
M4A1,rifle,de_mirage
AK-47,rifle,de_mirage
AK-47,rifle,de_mirage
AWP,sniper,de_mirage
AK-47,rifle,de_mirage
AK-47,rifle,de_mirage
AK-47,rifle,de_mirage
M4A4,rifle,de_mirage
AWP,sniper,de_mirage
AWP,sniper,de_mirage
M4A1,rifle,de_mirage
AK-47,rifle,de_mirage
M4A1,rifle,de_mirage
M4A1,rifle,de_mirage
M4A1,rifle,de_mirage
AK-47,rifle,de_mirage
M4A1,rifle,de_mirage
M4A4,rifle,de_mirage
M4A4,rifle,de_mirage
AK-47,rifle,de_mirage
AWP,sniper,de_mirage
AK-47,rifle,de_mirage
AWP,sniper,de_mirage
AK-47,rifle,de_mirage
M4A4,rifle,de_mirage
AK-47,rifle,de_mirage
AK-47,rifle,de_mirage
AK-47,rifle,de_mirage
AWP,sniper,de_mirage
AK-47,rifle,de_mirage
AK-47,rifle,de_mirage
AK-47,rifle,de_mirage
M4A4,rifle,de_mirage
Knife,melee,de_ancient
Knife,melee,de_ancient
Knife,melee,de_ancient
Knife,melee,de_ancient
Knife,melee,de_ancient
Knife,melee,de_ancient
Knife,melee,de_ancient
Knife,melee,de_ancient
USP-S,pistol,de_ancient
Glock-18,pistol,de_ancient
Glock-18,pistol,de_ancient
Glock-18,pistol,de_ancient
Glock-18,pistol,de_ancient
USP-S,pistol,de_ancient
Glock-18,pistol,de_ancient
MAC-10,smg,de_ancient
MAC-10,smg,de_ancient
MAC-10,smg,de_ancient
AK-47,rifle,de_ancient
AK-47,rifle,de_ancient
M4A1,rifle,de_ancient
Galil AR,rifle,de_ancient
M4A1,rifle,de_ancient
AK-47,rifle,de_ancient
AK-47,rifle,de_ancient
Five-SeveN,pistol,de_ancient
M4A1,rifle,de_ancient
AK-47,rifle,de_ancient
M4A1,rifle,de_ancient
M4A1,rifle,de_ancient
AK-47,rifle,de_ancient
M4A1,rifle,de_ancient
M4A1,rifle,de_ancient
M4A1,rifle,de_ancient
AK-47,rifle,de_ancient
M4A1,rifle,de_ancient
AWP,sniper,de_ancient
AK-47,rifle,de_ancient
M4A1,rifle,de_ancient
M4A1,rifle,de_ancient
AK-47,rifle,de_ancient
M4A1,rifle,de_ancient
AWP,sniper,de_ancient
AK-47,rifle,de_ancient
AK-47,rifle,de_ancient
M4A1,rifle,de_ancient
AK-47,rifle,de_ancient
AK-47,rifle,de_ancient
AK-47,rifle,de_ancient
Five-SeveN,pistol,de_ancient
AK-47,rifle,de_ancient
AK-47,rifle,de_ancient
AWP,sniper,de_ancient
AK-47,rifle,de_ancient
AK-47,rifle,de_ancient
AWP,sniper,de_ancient
AWP,sniper,de_ancient
M4A1,rifle,de_ancient
M4A1,rifle,de_ancient
AK-47,rifle,de_ancient
USP-S,pistol,de_ancient
M4A1,rifle,de_ancient
AWP,sniper,de_ancient
AWP,sniper,de_ancient
M4A1,rifle,de_ancient
M4A1,rifle,de_ancient
Galil AR,rifle,de_ancient
AK-47,rifle,de_ancient
AK-47,rifle,de_ancient
AK-47,rifle,de_ancient
AK-47,rifle,de_ancient
Galil AR,rifle,de_ancient
AWP,sniper,de_ancient
AK-47,rifle,de_ancient
M4A1,rifle,de_ancient
M4A1,rifle,de_ancient
AK-47,rifle,de_ancient
AK-47,rifle,de_ancient
AWP,sniper,de_ancient
AWP,sniper,de_ancient
M4A1,rifle,de_ancient
AK-47,rifle,de_ancient
AK-47,rifle,de_ancient
AK-47,rifle,de_ancient
M4A1,rifle,de_ancient
M4A1,rifle,de_ancient
AK-47,rifle,de_ancient
AK-47,rifle,de_ancient
AK-47,rifle,de_ancient
AK-47,rifle,de_ancient
M4A1,rifle,de_ancient
USP-S,pistol,de_ancient
USP-S,pistol,de_ancient
USP-S,pistol,de_ancient
Glock-18,pistol,de_ancient
P2000,pistol,de_ancient
USP-S,pistol,de_ancient
M4A1,rifle,de_ancient
M4A1,rifle,de_ancient
M4A1,rifle,de_ancient
Tec-9,pistol,de_ancient
M4A1,rifle,de_ancient
M4A4,rifle,de_ancient
M4A1,rifle,de_ancient
Desert Eagle,pistol,de_ancient
M4A1,rifle,de_ancient
M4A1,rifle,de_ancient
M4A1,rifle,de_ancient
Knife,melee,de_inferno
Knife,melee,de_inferno
Knife,melee,de_inferno
Knife,melee,de_inferno
Knife,melee,de_inferno
Knife,melee,de_inferno
Knife,melee,de_inferno
Glock-18,pistol,de_inferno
Glock-18,pistol,de_inferno
USP-S,pistol,de_inferno
Glock-18,pistol,de_inferno
Glock-18,pistol,de_inferno
USP-S,pistol,de_inferno
Glock-18,pistol,de_inferno
Galil AR,rifle,de_inferno
USP-S,pistol,de_inferno
Galil AR,rifle,de_inferno
USP-S,pistol,de_inferno
AK-47,rifle,de_inferno
Galil AR,rifle,de_inferno
AK-47,rifle,de_inferno
AK-47,rifle,de_inferno
M4A1,rifle,de_inferno
AK-47,rifle,de_inferno
AK-47,rifle,de_inferno
M4A1,rifle,de_inferno
AK-47,rifle,de_inferno
AK-47,rifle,de_inferno
AK-47,rifle,de_inferno
M4A1,rifle,de_inferno
M4A1,rifle,de_inferno
AK-47,rifle,de_inferno
AWP,sniper,de_inferno
AWP,sniper,de_inferno
AWP,sniper,de_inferno
M4A1,rifle,de_inferno
M4A1,rifle,de_inferno
AK-47,rifle,de_inferno
AK-47,rifle,de_inferno
AK-47,rifle,de_inferno
AWP,sniper,de_inferno
AK-47,rifle,de_inferno
AK-47,rifle,de_inferno
AK-47,rifle,de_inferno
AK-47,rifle,de_inferno
M4A1,rifle,de_inferno
AWP,sniper,de_inferno
AK-47,rifle,de_inferno
AWP,sniper,de_inferno
AWP,sniper,de_inferno
AK-47,rifle,de_inferno
AK-47,rifle,de_inferno
M4A1,rifle,de_inferno
M4A1,rifle,de_inferno
MAC-10,smg,de_inferno
MAC-10,smg,de_inferno
M4A1,rifle,de_inferno
MAC-10,smg,de_inferno
M4A1,rifle,de_inferno
AWP,sniper,de_inferno
AK-47,rifle,de_inferno
AK-47,rifle,de_inferno
AK-47,rifle,de_inferno
M4A1,rifle,de_inferno
AK-47,rifle,de_inferno
AK-47,rifle,de_inferno
AK-47,rifle,de_inferno
AK-47,rifle,de_inferno
AK-47,rifle,de_inferno
AWP,sniper,de_inferno
AWP,sniper,de_inferno
Tec-9,pistol,de_inferno
Tec-9,pistol,de_inferno
AK-47,rifle,de_inferno
AK-47,rifle,de_inferno
USP-S,pistol,de_inferno
Dual Berettas,pistol,de_inferno
Glock-18,pistol,de_inferno
Dual Berettas,pistol,de_inferno
Glock-18,pistol,de_inferno
